"","combination","temp","rep","NetEffect","N"
"103","GT","Fluctuation",3,0.312306115179956,"2"
"104","GT","Increase",1,0.325450802047178,"2"
"105","GT","Increase",2,0.426423550195411,"2"
"106","GT","Increase",3,0.257792820075742,"2"
"107","GT","IncreaseFluctuation",2,0.127469782764317,"2"
"108","GT","Fluctuation",2,0.284983101031608,"2"
"109","RT","Constant",2,0.23265323423544,"2"
"110","RT","Constant",1,-0.367676585606734,"2"
"111","RT","Constant",3,0.574657134970334,"2"
"112","RT","Fluctuation",1,-1.26484263495542,"2"
"113","RT","Increase",1,0.759128256702975,"2"
"114","RT","IncreaseFluctuation",1,0.382148352001088,"2"
"115","RT","Fluctuation",3,-0.988155561228429,"2"
"116","RT","Increase",3,-0.43262801726211,"2"
"117","RT","IncreaseFluctuation",3,0.558338091557389,"2"
"118","RT","IncreaseFluctuation",2,0.729839633248872,"2"
"119","RT","Fluctuation",2,-1.4239375170028,"2"
"120","RT","Increase",2,0.953220908169457,"2"
"121","AGRT","Fluctuation",1,0.257869754899851,"4"
"122","AGRT","Fluctuation",2,-0.660952828351095,"4"
"123","ADRT","Fluctuation",1,-0.778651199119133,"4"
"124","ADRT","Fluctuation",2,0.46921750805009,"4"
"125","ADRT","Fluctuation",3,-0.646093893011045,"4"
"126","ADRT","Increase",2,0.0916520728750858,"4"
"127","5spec","Increase",1,0.16479411988784,"5"
"128","ADRT","Increase",3,-1.00848284876201,"4"
"129","ADRT","IncreaseFluctuation",2,-0.604914431785935,"4"
"130","ADRT","IncreaseFluctuation",3,-0.50314507506634,"4"
"131","5spec","Fluctuation",1,-0.215285219490505,"5"
"132","5spec","Fluctuation",3,-0.669213217626753,"5"
"133","5spec","Increase",2,-0.0236204496926919,"5"
"134","5spec","IncreaseFluctuation",1,-0.880568582593524,"5"
"135","5spec","IncreaseFluctuation",2,-1.08175707622645,"5"
"136","ADGT","Fluctuation",2,0.40135938714801,"4"
"137","AGRT","Constant",1,-0.114276127756575,"4"
"138","AGRT","Constant",2,0.257172354099698,"4"
"139","AGRT","Constant",3,0.123393604218275,"4"
"140","ADRT","Constant",1,-0.0890924171668874,"4"
"141","ADRT","Constant",2,1.15140909284129,"4"
"142","ADRT","Constant",3,0.553082983713548,"4"
"143","ADGT","Constant",1,0.406866667052325,"4"
"144","ADGT","Increase",2,0.313540408132882,"4"
"145","ADGT","Constant",2,0.403155979545215,"4"
"146","ADGT","Constant",3,0.474235782083186,"4"
"147","ADGR","Constant",1,-0.537312436580442,"4"
"148","ADGR","Constant",2,0.0509149389944556,"4"
"149","ADGR","Constant",3,0.0844315935300911,"4"
"150","AGRT","Fluctuation",3,-0.467899896347482,"4"
"151","ADRT","IncreaseFluctuation",1,-1.01031718886044,"4"
"152","AGRT","Increase",1,1.37869807062325,"4"
"153","ADGT","Fluctuation",1,0.445190629341389,"4"
"154","ADGT","IncreaseFluctuation",2,0.555525245373613,"4"
"155","AGRT","Increase",3,-0.257890527879079,"4"
"156","ADGT","Fluctuation",3,0.614872737624163,"4"
"157","ADGR","Fluctuation",1,-0.00594516764498598,"4"
"158","ADGR","Fluctuation",2,-1.17757897602557,"4"
"159","ADGR","IncreaseFluctuation",3,-0.211004758966219,"4"
"160","ADGR","Fluctuation",3,-0.695028573741557,"4"
"161","5spec","Constant",3,0.395754236059886,"5"
"162","ADGR","Increase",2,-0.243327375082821,"4"
"163","AGRT","Increase",2,0.625047290474186,"4"
"164","ADRT","Increase",1,0.284996013424417,"4"
"165","ADGT","Increase",1,0.406709121050855,"4"
"166","5spec","Increase",3,-0.31160751854895,"5"
"167","ADGT","Increase",3,0.298255681321605,"4"
"168","ADGR","Increase",1,0.186356804360879,"4"
"169","ADGR","Increase",3,-1.266743501597,"4"
"170","ADGR","IncreaseFluctuation",1,-0.705313818241228,"4"
"171","AGRT","IncreaseFluctuation",1,-1.13280758703711,"4"
"172","AGRT","IncreaseFluctuation",2,-1.26324623507389,"4"
"173","AGRT","IncreaseFluctuation",3,-0.197785791057234,"4"
"174","5spec","Constant",2,1.22508130189039,"5"
"175","ADGT","IncreaseFluctuation",1,0.433564694333815,"4"
"176","5spec","Fluctuation",2,-1.02299031499349,"5"
"177","ADGT","IncreaseFluctuation",3,0.66630333967757,"4"
"178","ADGR","IncreaseFluctuation",2,-0.0805585201627346,"4"
"179","5spec","Constant",1,0.0298997825014848,"5"
"180","5spec","IncreaseFluctuation",3,-0.205348840667751,"5"
"181","DGRT","Increase",1,5.74456507905852,"4"
"182","DGRT","Increase",2,4.03789821394465,"4"
"183","DGRT","IncreaseFluctuation",1,-0.401740872699496,"4"
"184","DGRT","IncreaseFluctuation",2,-0.884061143936642,"4"
"185","DGRT","Fluctuation",3,0.194771058739523,"4"
"186","DGRT","Constant",1,0.903491114267115,"4"
"187","DGRT","Constant",3,2.57829265708805,"4"
"188","DGRT","Fluctuation",2,0.896128748510531,"4"
"189","DGRT","Constant",2,1.61299709115146,"4"
"190","DGRT","Increase",3,-0.233231115199574,"4"
"191","DGRT","Fluctuation",1,1.06249547823015,"4"
"192","DGRT","IncreaseFluctuation",3,-0.43618003168956,"4"
