"","X","combination","speciesID","rep","temp","NBE","AUC.RR_exp","AUC.RR_obs","N"
"1",1,"AD","Asterio",1,"Fluctuation",1.56707637110558,-1.31635504247183,0.250721328633754,2
"2",2,"AG","Asterio",1,"Fluctuation",2.82108387358372,-1.96053625773165,0.860547615852068,2
"3",3,"AR","Asterio",1,"Fluctuation",2.43507505596199,0.375026311753762,2.81010136771576,2
"4",4,"AT","Asterio",1,"Fluctuation",-0.0837219840668727,-0.749630494848904,-0.833352478915777,2
"5",5,"AR","Asterio",2,"Fluctuation",0.96750478565681,0.900744091569688,1.8682488772265,2
"6",6,"AD","Asterio",2,"Fluctuation",2.36913849404363,-1.55510455503651,0.814033939007123,2
"7",7,"AG","Asterio",2,"Fluctuation",2.90783510640024,-1.4489722038589,1.45886290254135,2
"8",8,"AT","Asterio",2,"Fluctuation",2.73099607057275,-2.22609032444927,0.504905746123471,2
"9",9,"AT","Asterio",3,"Fluctuation",1.24666057562877,-1.26816281266366,-0.0215022370348901,2
"10",10,"AD","Asterio",3,"Fluctuation",0.804041965830119,-1.39168342782054,-0.587641461990424,2
"11",11,"AG","Asterio",3,"Fluctuation",2.3574219913819,-0.40285154978686,1.95457044159504,2
"12",12,"AR","Asterio",3,"Fluctuation",1.9510132050143,-0.224809509687824,1.72620369532648,2
"13",13,"AD","Asterio",1,"IncreaseFluctuation",1.00613213390816,-1.45793114463391,-0.451799010725745,2
"14",14,"AG","Asterio",1,"IncreaseFluctuation",3.06495431136493,-3.70600431735243,-0.641050005987497,2
"15",15,"AR","Asterio",1,"IncreaseFluctuation",1.54696240763084,0.323898945734075,1.87086135336492,2
"16",16,"AT","Asterio",1,"IncreaseFluctuation",3.40613020265418,-1.42467030157654,1.98145990107765,2
"17",17,"AD","Asterio",2,"IncreaseFluctuation",3.32393733539035,-2.7954098009022,0.528527534488154,2
"18",18,"AG","Asterio",2,"IncreaseFluctuation",3.74375993489347,-3.6594877002669,0.0842722346265695,2
"19",19,"AR","Asterio",2,"IncreaseFluctuation",1.01316434252236,0.0075265434376271,1.02069088595998,2
"20",20,"AT","Asterio",2,"IncreaseFluctuation",2.70604529613074,-3.07957770770879,-0.37353241157805,2
"21",21,"AD","Asterio",3,"IncreaseFluctuation",0.739294919529834,-1.32432269227275,-0.585027772742918,2
"22",22,"AG","Asterio",3,"IncreaseFluctuation",2.94188267625608,-3.53938673754322,-0.597504061287139,2
"23",23,"AR","Asterio",3,"IncreaseFluctuation",2.99325006931772,-2.30781391765998,0.685436151657746,2
"24",24,"AT","Asterio",3,"IncreaseFluctuation",1.29896450840813,-2.22809110736816,-0.929126598960032,2
"25",25,"AD","Asterio",1,"Increase",0.680242549189075,-0.270946590777318,0.409295958411757,2
"26",26,"AG","Asterio",1,"Increase",3.049549087126,-2.89635547878359,0.15319360834241,2
"27",27,"AR","Asterio",1,"Increase",1.53396279442263,-0.217827690179017,1.31613510424362,2
"28",28,"AT","Asterio",1,"Increase",1.59653639556852,-1.48576420473129,0.110772190837227,2
"29",29,"AD","Asterio",2,"Increase",0.392949054438013,0.4510350396834,0.843984094121413,2
"30",30,"AG","Asterio",2,"Increase",2.4531799072798,-1.483069337424,0.970110569855796,2
"31",31,"AR","Asterio",2,"Increase",1.21049685153761,0.796526741275518,2.00702359281312,2
"32",32,"AT","Asterio",2,"Increase",4.18901225258337,-3.647784773919,0.541227478664372,2
"33",33,"AD","Asterio",3,"Increase",0.786118766141059,0.352336454756868,1.13845522089793,2
"34",34,"AG","Asterio",3,"Increase",2.97120197790788,-2.01767374418603,0.953528233721846,2
"35",35,"AR","Asterio",3,"Increase",0.700723971999195,1.52350269149239,2.22422666349158,2
"36",36,"AT","Asterio",3,"Increase",4.27629836968649,-2.53549284309351,1.74080552659298,2
"37",37,"DG","DityCux",3,"Fluctuation",3.98135833902925,-2.48289329550107,1.49846504352818,2
"38",38,"AD","DityCux",3,"Fluctuation",0.804041965830119,-1.39168342782054,-0.587641461990424,2
"39",39,"DT","DityCux",3,"Fluctuation",1.33358315126159,-1.66575034291089,-0.332167191649298,2
"40",40,"DR","DityCux",3,"Fluctuation",1.98041544486879,-0.309994201703671,1.67042124316512,2
"41",41,"DG","DityCux",1,"IncreaseFluctuation",4.44741064264989,-2.3482117021963,2.09919894045359,2
"42",42,"DR","DityCux",1,"IncreaseFluctuation",0.883477376118252,0.294464001351759,1.17794137747001,2
"43",43,"DT","DityCux",1,"IncreaseFluctuation",1.71339960750997,-1.42519722984103,0.288202377668937,2
"44",44,"AD","DityCux",1,"IncreaseFluctuation",1.00613213390816,-1.45793114463391,-0.451799010725745,2
"45",45,"DR","DityCux",2,"IncreaseFluctuation",2.01086544780468,0.0291464447723758,2.04001189257706,2
"46",46,"DG","DityCux",2,"IncreaseFluctuation",2.41517815218191,-2.7647220531612,-0.349543900979298,2
"47",47,"AD","DityCux",2,"IncreaseFluctuation",3.32393733539035,-2.7954098009022,0.528527534488154,2
"48",48,"DT","DityCux",2,"IncreaseFluctuation",1.9275819903619,-2.12687367214618,-0.199291681784285,2
"49",49,"DG","DityCux",3,"Increase",-0.143138778101997,-0.521535438429225,-0.664674216531222,2
"50",50,"DT","DityCux",3,"Increase",3.77410918241095,-2.11545963809483,1.65864954431611,2
"51",51,"DR","DityCux",3,"Increase",-0.690670005590426,1.51569287985304,0.825022874262612,2
"52",52,"AD","DityCux",3,"Increase",0.786118766141059,0.352336454756868,1.13845522089793,2
"53",53,"DG","DityCux",2,"Increase",-0.114099489312719,-0.545244787633379,-0.659344276946098,2
"54",54,"DT","DityCux",2,"Increase",0.604311113212497,-0.958820396548945,-0.354509283336448,2
"55",55,"DR","DityCux",2,"Increase",0.0109482502961289,0.918158902163154,0.929107152459283,2
"56",56,"AD","DityCux",2,"Increase",0.392949054438013,0.4510350396834,0.843984094121413,2
"57",57,"DG","DityCux",1,"Fluctuation",3.88788533890644,-3.07148023100611,0.816405107900333,2
"58",58,"AD","DityCux",1,"Fluctuation",1.56707637110558,-1.31635504247183,0.250721328633754,2
"59",59,"DR","DityCux",1,"Fluctuation",2.96187627206562,0.407450448890317,3.36932672095594,2
"60",60,"DT","DityCux",1,"Fluctuation",-0.38129593012872,-0.934374170198702,-1.31567010032742,2
"61",61,"DT","DityCux",2,"Fluctuation",3.03927113324952,-2.61941154023066,0.419859593018858,2
