"","row","method","treat","combination","column","blank","fileName","sampling","value","ID"
"63","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s3.txt",3,2,"T_Low_1"
"64","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s2.txt",2,4,"T_Low_1"
"65","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s15.txt",15,50,"T_Low_1"
"66","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s14.txt",14,100,"T_Low_1"
"67","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s13.txt",13,61,"T_Low_1"
"68","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s12.txt",12,69,"T_Low_1"
"69","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s10.txt",10,110,"T_Low_1"
"70","F","395,680","flucinc","mono","V2",1,"./flucinc_mono_s1.txt",1,0,"T_Low_1"
"71","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s9.txt",9,35,"A_Low_1"
"72","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s8.txt",8,22,"A_Low_1"
"73","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s7.txt",7,20,"A_Low_1"
"74","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s6.txt",6,23,"A_Low_1"
"75","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s5.txt",5,17,"A_Low_1"
"76","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s4.txt",4,14,"A_Low_1"
"77","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s3.txt",3,0,"A_Low_1"
"78","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s2.txt",2,2,"A_Low_1"
"79","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s15.txt",15,27,"A_Low_1"
"80","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s14.txt",14,65,"A_Low_1"
"81","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s13.txt",13,40,"A_Low_1"
"82","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s12.txt",12,29,"A_Low_1"
"83","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s10.txt",10,43,"A_Low_1"
"84","B","614,680","flucinc","mono","V2",3,"./flucinc_mono_s1.txt",1,4,"A_Low_1"
"85","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s9.txt",9,18,"D_Low_1"
"86","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s8.txt",8,11,"D_Low_1"
"87","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s7.txt",7,6,"D_Low_1"
"88","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s6.txt",6,7,"D_Low_1"
"89","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s5.txt",5,5,"D_Low_1"
"90","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s4.txt",4,2,"D_Low_1"
"91","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s3.txt",3,2,"D_Low_1"
"92","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s2.txt",2,7,"D_Low_1"
"93","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s15.txt",15,3,"D_Low_1"
"94","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s14.txt",14,0,"D_Low_1"
"95","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s13.txt",13,6,"D_Low_1"
"96","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s12.txt",12,5,"D_Low_1"
"97","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s10.txt",10,10,"D_Low_1"
"98","C","614,680","flucinc","mono","V2",0,"./flucinc_mono_s1.txt",1,5,"D_Low_1"
"99","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s9.txt",9,1,"G_Low_1"
"100","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s8.txt",8,0,"G_Low_1"
"101","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s7.txt",7,2,"G_Low_1"
"102","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s6.txt",6,1,"G_Low_1"
"103","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s5.txt",5,0,"G_Low_1"
"104","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s4.txt",4,5,"G_Low_1"
"105","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s3.txt",3,4,"G_Low_1"
"106","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s2.txt",2,2,"G_Low_1"
"107","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s15.txt",15,3,"G_Low_1"
"108","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s14.txt",14,2,"G_Low_1"
"109","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s13.txt",13,1,"G_Low_1"
"110","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s12.txt",12,0,"G_Low_1"
"111","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s10.txt",10,5,"G_Low_1"
"112","D","614,680","flucinc","mono","V2",2,"./flucinc_mono_s1.txt",1,7,"G_Low_1"
"113","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s9.txt",9,6,"R_Low_1"
"114","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s8.txt",8,6,"R_Low_1"
"115","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s7.txt",7,15,"R_Low_1"
"116","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s6.txt",6,18,"R_Low_1"
"117","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s5.txt",5,23,"R_Low_1"
"118","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s4.txt",4,8,"R_Low_1"
"119","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s3.txt",3,4,"R_Low_1"
"120","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s2.txt",2,1,"R_Low_1"
"121","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s15.txt",15,0,"R_Low_1"
"122","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s14.txt",14,0,"R_Low_1"
"123","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s13.txt",13,1,"R_Low_1"
"124","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s12.txt",12,6,"R_Low_1"
"125","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s10.txt",10,30,"R_Low_1"
"126","E","614,680","flucinc","mono","V2",2,"./flucinc_mono_s1.txt",1,1,"R_Low_1"
"127","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s9.txt",9,14,"T_Low_1"
"128","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s8.txt",8,14,"T_Low_1"
"129","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s7.txt",7,6,"T_Low_1"
"130","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s6.txt",6,6,"T_Low_1"
"131","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s5.txt",5,0,"T_Low_1"
"132","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s4.txt",4,0,"T_Low_1"
"133","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s3.txt",3,0,"T_Low_1"
"134","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s2.txt",2,4,"T_Low_1"
"135","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s15.txt",15,10,"T_Low_1"
"136","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s14.txt",14,19,"T_Low_1"
"137","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s13.txt",13,8,"T_Low_1"
"138","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s12.txt",12,11,"T_Low_1"
"139","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s10.txt",10,11,"T_Low_1"
"140","F","614,680","flucinc","mono","V2",1,"./flucinc_mono_s1.txt",1,1,"T_Low_1"
"141","B","440,660","flucinc","mono","V2",4,"./flucinc_mono_s9.txt",9,123,"A_Low_1"
